Participant,Contrast,rootEnergy,Ncorrect,Ntrials
1,0.01,0.162931,10,35
1,0.02,0.325862,16,36
1,0.04,0.651724,20,35
1,0.05,0.814655,18,36
1,0.07,1.140517,29,36
1,0.08,1.303448,32,35
1,0.09,1.466379,33,34
2,0.02,0.325862,9,35
2,0.03,0.488793,8,34
2,0.04,0.651724,15,32
2,0.06,0.977586,30,35
2,0.07,1.140517,28,35
2,0.09,1.466379,34,35
2,0.1,1.62931,35,35
3,0.02,0.325862,10,35
3,0.04,0.651724,6,36
3,0.07,1.140517,15,35
3,0.1,1.62931,29,34
3,0.13,2.118103,27,34
3,0.16,2.606896,27,35
3,0.18,2.932758,33,36
4,0.02,0.325862,5,12
4,0.04,0.651724,3,11
4,0.05,0.814655,9,18
4,0.06,0.977586,8,11
4,0.07,1.140517,11,18
4,0.08,1.303448,9,11
4,0.1,1.62931,10,12
4,0.11,1.792241,15,18
4,0.13,2.118103,12,12
4,0.14,2.281034,9,11
4,0.15,2.443965,15,18
4,0.19,3.095689,14,18
4,0.23,3.747413,15,16
4,0.25,4.073275,16,16
5,0.02,0.325862,11,30
5,0.04,0.651724,11,30
5,0.07,1.140517,14,28
5,0.1,1.62931,22,27
5,0.13,2.118103,24,31
5,0.16,2.606896,26,29
5,0.18,2.932758,25,27
6,0.02,0.325862,6,35
6,0.04,0.651724,15,36
6,0.06,0.977586,20,34
6,0.08,1.303448,23,35
6,0.1,1.62931,27,33
6,0.13,2.118103,33,34
6,0.14,2.281034,32,35
7,0.02,0.325862,11,34
7,0.04,0.651724,11,36
7,0.06,0.977586,23,34
7,0.08,1.303448,28,34
7,0.1,1.62931,29,36
7,0.13,2.118103,32,34
7,0.14,2.281034,31,35
8,0.02,0.325862,8,28
8,0.04,0.651724,14,29
8,0.07,1.140517,21,30
8,0.1,1.62931,23,29
8,0.13,2.118103,24,30
8,0.16,2.606896,26,30
8,0.18,2.932758,23,31
